CouncillorId,CouncillorBioId,CouncillorName,Rat,Fraktion,Kanton,Geburtsdatum,Vereidigungsdatum
2700,3897,Moser Tiana Angelina,NR,GL,ZH,1979-04-06,2015-11-30
3012,4097,Müller Leo,NR,C,LU,1958-07-04,2015-11-30
2661,1345,Müller Thomas,NR,V,SG,1952-12-01,2015-11-30
2617,1137,Müller Walter,NR,RL,SG,1948-04-25,2015-11-30
2771,4063,Müller-Altermatt Stefan,NR,C,SO,1976-06-17,2015-11-30
3036,4134,Munz Martina,NR,S,SH,1955-12-26,2015-11-30
2618,1111,Müri Felix,NR,V,LU,1958-01-22,2015-11-30
3018,4106,Naef Martin,NR,S,ZH,1970-11-10,2015-11-30
3088,4193,Nantermod Philippe,NR,RL,VS,1984-03-27,2015-11-30
3089,4168,Nicolet Jacques,NR,V,VD,1965-10-24,2015-11-30
2701,3898,Nidegger Yves,NR,V,GE,1957-05-17,2015-11-30
2648,1279,Nordmann Roger,NR,S,VD,1973-03-23,2015-11-30
2619,1153,Noser Ruedi,NR,RL,ZH,1961-04-14,2015-11-30
2702,3899,Nussbaumer Eric,NR,S,BL,1960-07-11,2015-11-30
3090,4169,Page Pierre-André,NR,V,FR,1960-04-19,2015-11-30
2773,4073,Pantani Roberta,NR,V,TI,1965-09-19,2015-11-30
2751,4045,Pardini Corrado,NR,S,BE,1965-06-19,2015-11-30
2621,1108,Parmelin Guy,NR,V,VD,1959-11-09,2015-11-30
2784,4084,Pezzatti Bruno,NR,RL,ZG,1951-03-04,2015-11-30
2623,1109,Pfister Gerhard,NR,C,ZG,1962-10-01,2015-11-30
2781,4065,Pieren Nadja,NR,V,BE,1980-02-14,2015-11-30
3009,4109,Piller Carrard Valérie,NR,S,FR,1978-09-09,2015-11-30
3043,4141,Portmann Hans-Peter,NR,RL,ZH,1963-02-22,2015-11-30
2779,4066,Quadranti Rosmarie,NR,BD,ZH,1957-07-18,2015-11-30
2752,4046,Quadri Lorenzo,NR,V,TI,1974-11-05,2015-11-30
2776,4072,Regazzi Fabio,NR,C,TI,1962-06-22,2015-11-30
2704,3901,Reimann Lukas,NR,V,SG,1982-09-18,2015-11-30
2147,173,Reimann Maximilian,NR,V,AG,1942-05-07,2015-11-30
2795,4091,Reynard Mathias,NR,S,VS,1987-09-07,2015-11-30
2705,3902,Rickli Natalie Simone,NR,V,ZH,1976-11-19,2015-11-30
2525,502,Riklin Kathy,NR,C,ZH,1952-10-21,2015-11-30
2627,1119,Rime Jean-François,NR,V,FR,1950-06-28,2015-11-30
2754,4052,Ritter Markus,NR,C,SG,1967-04-19,2015-11-30
3025,4120,Romano Marco,NR,C,TI,1982-11-06,2015-11-30
3010,4100,Rösti Albert,NR,V,BE,1967-08-07,2015-11-30
3045,4143,Ruiz Rebecca Ana,NR,S,VD,1982-02-04,2015-11-30
3091,4170,Ruppen Franz,NR,V,VS,1971-02-24,2015-11-30
3030,4125,Rutz Gregor A.,NR,V,ZH,1972-10-12,2015-11-30
3000,4095,Rytz Regula,NR,G,BE,1962-03-02,2015-11-30
3092,4172,Salzmann Werner,NR,V,BE,1962-11-05,2015-11-30
3103,4202,Sauter Regine,NR,RL,ZH,1966-04-16,2015-11-30
2654,1318,Schelbert Louis,NR,G,LU,1952-10-31,2015-11-30
2630,1129,Schenker Silvia,NR,S,BS,1954-01-17,2015-11-30
3029,4124,Schilliger Peter,NR,RL,LU,1959-06-01,2015-11-30
2707,3904,Schmid-Federer Barbara,NR,C,ZH,1965-11-10,2015-11-30
2708,3905,Schmidt Roberto,NR,C,VS,1962-07-16,2015-11-30
2766,4060,Schneeberger Daniela,NR,RL,BL,1967-09-19,2015-11-30
2748,4040,Schneider-Schneiter Elisabeth,NR,C,BL,1964-02-19,2015-11-30
3020,4115,Schwaab Jean Christophe,NR,S,VD,1979-08-23,2015-11-30
2631,1159,Schwander Pirmin,NR,V,SZ,1961-12-28,2015-11-30
3094,4199,Seiler Graf Priska,NR,S,ZH,1968-08-29,2015-11-30
2417,354,Semadeni Silva,NR,S,GR,1952-02-08,2015-11-30
3095,4173,Sollberger Sandra,NR,V,BL,1973-10-27,2015-11-30
2632,1120,Sommaruga Carlo,NR,S,GE,1959-07-08,2015-11-30
2536,514,Stahl Jürg,NR,V,ZH,1968-01-16,2015-11-30
2323,214,Stamm Luzi,NR,V,AG,1952-09-09,2015-11-30
2669,3865,Steiert Jean-François,NR,S,FR,1961-02-07,2015-11-30
3096,4174,Steinemann Barbara,NR,V,ZH,1976-06-18,2015-11-30
2747,4036,Streiff-Feller Marianne,NR,C,BE,1957-08-17,2015-11-30
2710,3907,Thorens Goumaz Adèle,NR,G,VD,1971-12-15,2015-11-30
3007,4113,Tornare Manuel,NR,S,GE,1951-04-20,2015-11-30
2328,224,Tschäppät Alexander,NR,S,BE,1952-04-16,2015-11-30
3097,4175,Tuena Mauro,NR,V,ZH,1972-01-25,2015-11-30
2761,4054,Vitali Albert,NR,RL,LU,1955-06-26,2015-11-30
2787,4085,Vogler Karl,NR,C,OW,1956-03-24,2015-11-30
3098,4176,Vogt Hans-Ueli,NR,V,ZH,1969-12-05,2015-11-30
2713,3910,von Siebenthal Erich,NR,V,BE,1958-12-30,2015-11-30
3099,4177,Walliser Bruno,NR,V,ZH,1966-04-11,2015-11-30
2541,519,Walter Hansjörg,NR,V,TG,1951-02-05,2015-11-30
3044,4142,Walti Beat,NR,RL,ZH,1968-11-22,2015-11-30
2715,3912,Wasserfallen Christian,NR,RL,BE,1981-06-30,2015-11-30
3100,4194,Wehrli Laurent,NR,RL,VD,1965-06-04,2015-11-30
2728,3931,Weibel Thomas,NR,GL,ZH,1954-07-14,2015-11-30
2759,4057,Wermuth Cédric,NR,S,AG,1986-02-19,2015-11-30
2638,1142,Wobmann Walter,NR,V,SO,1957-11-21,2015-11-30
3101,4178,Zanetti Claudio,NR,V,ZH,1967-06-16,2015-11-30
3102,4179,Zuberbühler David,NR,V,AR,1979-02-20,2015-11-30
3104,4203,Barrile Angelo,NR,S,ZH,1976-08-22,2015-12-08
3110,4209,Bigler Hans-Ulrich,NR,RL,ZH,1958-04-05,2015-12-08
2764,4071,Gasche Urs,NR,BD,BE,1955-03-15,2015-12-08
